-DOCSTART- -X- -X- O
a -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE
. -X- _ O

Is -X- _ O
it -X- _ O
close -X- _ O
to -X- _ O
the -X- _ O
POS -X- _ B-CARD_USAGE
machine -X- _ O
when -X- _ O
the -X- _ O
screen -X- _ O
is -X- _ O
locked -X- _ O
? -X- _ O

After -X- _ O
a -X- _ O
phone -X- _ O
is -X- _ O
cloned -X- _ O
, -X- _ O
the -X- _ O
QR -X- _ B-CODE_TYPE
code -X- _ I-CODE_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
opened -X- _ O
. -X- _ O

What -X- _ O
should -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
my -X- _ O
account -X- _ O
balance -X- _ O
is -X- _ O
changed -X- _ O
after -X- _ O
I -X- _ O
upgrade -X- _ O
the -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Huawei -X- _ B-ORG
phones -X- _ O
support -X- _ O
access -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
. -X- _ O

Are -X- _ O
you -X- _ O
kissing -X- _ O
? -X- _ O

I -X- _ O
changed -X- _ O
my -X- _ O
mobile -X- _ O
phone -X- _ O
, -X- _ O
how -X- _ O
to -X- _ O
transfer -X- _ O
the -X- _ O
Tianjin -X- _ B-LOC
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
of -X- _ O
the -X- _ O
original -X- _ O
mobile -X- _ O
phone -X- _ O
to -X- _ O
the -X- _ O
new -X- _ O
mobile -X- _ O
phone -X- _ O
. -X- _ O
The -X- _ O
original -X- _ O
mobile -X- _ O
phone -X- _ O
is -X- _ O
replaced -X- _ O
with -X- _ O
a -X- _ O
new -X- _ O
mobile -X- _ O
phone -X- _ O
on -X- _ O
Huawei -X- _ B-ORG
's -X- _ O
official -X- _ O
website -X- _ O
. -X- _ O

Transaction -X- _ O
failed -X- _ O
. -X- _ O
Please -X- _ O
swipe -X- _ O
your -X- _ O
card -X- _ O
again -X- _ O

How -X- _ O
do -X- _ O
I -X- _ O
change -X- _ O
the -X- _ O
Huawei -X- _ B-ORG
payment -X- _ B-CARD_FEATURE
password -X- _ I-CARD_FEATURE
? -X- _ O

When -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
added -X- _ O
, -X- _ O
a -X- _ O
message -X- _ O
is -X- _ O
displayed -X- _ O
, -X- _ O
indicating -X- _ O
that -X- _ O
the -X- _ O
UnionPay -X- _ B-HMS_SERVICE
returns -X- _ O
error -X- _ O
code -X- _ O
3605 -X- _ B-ERROR_CODE
. -X- _ O

What -X- _ O
codes -X- _ O
can -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
scan -X- _ O
? -X- _ O

The -X- _ O
Eid -X- _ B-CARD_TYPE
is -X- _ O
not -X- _ O
required -X- _ O
. -X- _ O

The -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
added -X- _ O
to -X- _ O
the -X- _ O
overseas -X- _ O
version -X- _ O
. -X- _ O

How -X- _ O
to -X- _ O
Use -X- _ O
Beijing -X- _ B-LOC
- -X- _ O
Tianjin -X- _ B-CARD_TYPE
Ji -X- _ I-CARD_TYPE
Card -X- _ I-CARD_TYPE
? -X- _ O

Huawei -X- _ B-ORG
mobile -X- _ O
phones -X- _ O
do -X- _ O
not -X- _ O
support -X- _ O
public -X- _ O
transportation -X- _ O
. -X- _ O

How -X- _ O
Do -X- _ O
I -X- _ O
Change -X- _ O
the -X- _ O
Payment -X- _ O
Fingerprint -X- _ O
? -X- _ O

Can -X- _ O
I -X- _ O
use -X- _ O
the -X- _ O
electronic -X- _ B-CARD_TYPE
ID -X- _ I-CARD_TYPE
card -X- _ I-CARD_TYPE
of -X- _ O
Huawei -X- _ B-ORG
to -X- _ O
swipe -X- _ O
at -X- _ O
the -X- _ O
Internet -X- _ O
cafe -X- _ O
? -X- _ O

There -X- _ O
is -X- _ O
no -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
option -X- _ O
in -X- _ O
the -X- _ O
version -X- _ O
. -X- _ O

Method -X- _ O
of -X- _ O
adding -X- _ O
an -X- _ O
invoice -X- _ O
business -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
( -X- _ O
title -X- _ O
) -X- _ O

Why -X- _ O
is -X- _ O
there -X- _ O
no -X- _ O
incentive -X- _ O
payment -X- _ B-CARD_FEATURE
entry -X- _ I-CARD_FEATURE
after -X- _ O
entering -X- _ O
the -X- _ O
home -X- _ O
page -X- _ O
of -X- _ O
the -X- _ O
wallet -X- _ B-HMS_SERVICE
? -X- _ O

Hello -X- _ O
, -X- _ O
my -X- _ O
phone -X- _ O
is -X- _ O
broken -X- _ O
, -X- _ O
the -X- _ O
repair -X- _ O
has -X- _ O
cleared -X- _ O
the -X- _ O
data -X- _ O
, -X- _ O
how -X- _ O
to -X- _ O
retrieve -X- _ O
the -X- _ O
original -X- _ O
binding -X- _ B-CARD_FEATURE
with -X- _ O
my -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

How -X- _ O
can -X- _ O
I -X- _ O
add -X- _ O
a -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE
and -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
when -X- _ O
my -X- _ O
mobile -X- _ O
phone -X- _ O
is -X- _ O
purchased -X- _ O
in -X- _ O
Hong -X- _ B-LOC
Kong -X- _ I-LOC
? -X- _ O

The -X- _ O
fingerprint -X- _ O
is -X- _ O
always -X- _ O
used -X- _ O
, -X- _ O
and -X- _ O
the -X- _ O
screen -X- _ O
lock -X- _ O
password -X- _ O
is -X- _ O
forgotten -X- _ O
. -X- _ O
Later -X- _ O
, -X- _ O
Taobao -X- _ O
customer -X- _ B-JOB_FUNCTION
service -X- _ I-JOB_FUNCTION
said -X- _ O
that -X- _ O
the -X- _ O
factory -X- _ O
settings -X- _ O
were -X- _ O
restored -X- _ O
. -X- _ O
However -X- _ O
, -X- _ O
the -X- _ O
phone -X- _ O
number -X- _ O
that -X- _ O
was -X- _ O
bound -X- _ O
to -X- _ O
the -X- _ O
Huawei -X- _ B-HMS_SERVICE
ID -X- _ I-HMS_SERVICE
was -X- _ O
not -X- _ O
used -X- _ O
. -X- _ O
What -X- _ O
should -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
the -X- _ O
password -X- _ O
is -X- _ O
forgotten -X- _ O
? -X- _ O

Check -X- _ O
the -X- _ O
key -X- _ O
of -X- _ O
the -X- _ O
existing -X- _ O
door -X- _ O
. -X- _ O

The -X- _ O
P30 -X- _ B-HUAWEI_DEVICE
mobile -X- _ O
phone -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
moved -X- _ O
to -X- _ O
Suzhou -X- _ B-LOC
Tong -X- _ B-ORG
. -X- _ O

In -X- _ O
. -X- _ O
Oh -X- _ O
, -X- _ O
yeah -X- _ O
. -X- _ O

Default -X- _ O

Is -X- _ O
anybody -X- _ O
here -X- _ O
? -X- _ O

Resetting -X- _ O
payment -X- _ O
passwords -X- _ O

Mobile -X- _ O
phone -X- _ O
model -X- _ O

Delete -X- _ O
the -X- _ O
existing -X- _ O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
, -X- _ O
where -X- _ O
to -X- _ O
hype -X- _ O
? -X- _ O

In -X- _ O
the -X- _ O
full -X- _ O
reduction -X- _ O
, -X- _ O
the -X- _ O
recharge -X- _ O
is -X- _ O
successful -X- _ O
and -X- _ O
the -X- _ O
money -X- _ O
is -X- _ O
deducted -X- _ O
, -X- _ O
but -X- _ O
why -X- _ O
not -X- _ O
? -X- _ O

Traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
not -X- _ O
enough -X- _ O
money -X- _ O
, -X- _ O
how -X- _ O
to -X- _ O
do -X- _ O
? -X- _ O

What -X- _ O
's -X- _ O
the -X- _ O
door -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

My -X- _ O
wallet -X- _ B-HMS_SERVICE
wo -X- _ O
n't -X- _ O
help -X- _ O
. -X- _ O

My -X- _ O
Huawei -X- _ B-ORG
mobile -X- _ O
phone -X- _ O
is -X- _ O
not -X- _ O
available -X- _ O
. -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
I -X- _ O
fail -X- _ O
to -X- _ O
upload -X- _ O
my -X- _ O
ID -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Are -X- _ O
you -X- _ O
sure -X- _ O
you -X- _ O
want -X- _ O
to -X- _ O
continue -X- _ O
? -X- _ O

An -X- _ O
illegal -X- _ O
card -X- _ O
is -X- _ O
displayed -X- _ O
on -X- _ O
the -X- _ O
brush -X- _ O
. -X- _ O

The -X- _ O
account -X- _ O
of -X- _ O
the -X- _ O
Yin -X- _ B-HMS_SERVICE
and -X- _ I-HMS_SERVICE
Yang -X- _ I-HMS_SERVICE
master -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
logged -X- _ O
in -X- _ O
. -X- _ O

Verify -X- _ O
security -X- _ O
question -X- _ O

How -X- _ O
to -X- _ O
Use -X- _ O
Fingerprint -X- _ O
to -X- _ O
Pay -X- _ O
? -X- _ O

Can -X- _ O
the -X- _ O
encrypted -X- _ O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
be -X- _ O
simulated -X- _ O
? -X- _ O

Can -X- _ O
I -X- _ O
use -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
to -X- _ O
recharge -X- _ O
my -X- _ O
account -X- _ O
? -X- _ O

Where -X- _ O
can -X- _ O
I -X- _ O
check -X- _ O
the -X- _ O
consumption -X- _ O
details -X- _ O
of -X- _ O
a -X- _ O
mobile -X- _ O
phone -X- _ O
? -X- _ O

Why -X- _ O
do -X- _ O
I -X- _ O
fail -X- _ O
to -X- _ O
add -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Setting -X- _ O
the -X- _ O
search -X- _ O
criteria -X- _ O

The -X- _ O
same -X- _ O
SIM -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
be -X- _ O
added -X- _ O
to -X- _ O
a -X- _ O
mobile -X- _ O
phone -X- _ O
and -X- _ O
displayed -X- _ O
on -X- _ O
the -X- _ O
other -X- _ O
phone -X- _ O
. -X- _ O

Return -X- _ O
the -X- _ O
card -X- _ O
opening -X- _ O
fee -X- _ O
. -X- _ O

Beijing -X- _ B-CARD_TYPE
- -X- _ I-CARD_TYPE
Tianjin -X- _ I-CARD_TYPE
- -X- _ I-CARD_TYPE
Hebei -X- _ I-CARD_TYPE
free -X- _ I-CARD_TYPE
card -X- _ I-CARD_TYPE
opening -X- _ B-HMS_SERVICE_FEATURE
activities -X- _ I-HMS_SERVICE_FEATURE

What -X- _ O
are -X- _ O
the -X- _ O
appropriate -X- _ O
methods -X- _ O
for -X- _ O
obtaining -X- _ O
the -X- _ O
SN -X- _ B-DEVICE_IDENTIFIER
of -X- _ O
a -X- _ O
mobile -X- _ O
phone -X- _ O
? -X- _ O

Hello -X- _ O
, -X- _ O
I -X- _ O
'd -X- _ O
like -X- _ O
to -X- _ O
ask -X- _ O
Sheep -X- _ O
Cheng -X- _ B-CARD_TYPE
Tong -X- _ I-CARD_TYPE
ca -X- _ O
n't -X- _ O
recharge -X- _ O
online -X- _ O
. -X- _ O
The -X- _ O
entity -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
invalid -X- _ O
. -X- _ O
How -X- _ O
can -X- _ O
I -X- _ O
recharge -X- _ O
it -X- _ O
? -X- _ O

Why -X- _ O
does -X- _ O
the -X- _ O
bus -X- _ B-TRANSPORT
brush -X- _ O
the -X- _ O
phone -X- _ O
always -X- _ O
say -X- _ O
the -X- _ O
verification -X- _ O
failed -X- _ O
? -X- _ O

How -X- _ O
to -X- _ O
use -X- _ O
Huawei -X- _ B-HMS_SERVICE
pay -X- _ I-HMS_SERVICE
to -X- _ O
pay -X- _ O
in -X- _ O
Suning.com -X- _ B-WEB_LINK
? -X- _ O

How -X- _ O
can -X- _ O
my -X- _ O
phone -X- _ O
not -X- _ O
add -X- _ O
Dalian -X- _ B-LOC
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Querying -X- _ O
or -X- _ O
Deleting -X- _ O
Bank -X- _ B-CARD_TYPE
Card -X- _ I-CARD_TYPE
Transaction -X- _ O
Records -X- _ O
in -X- _ O
the -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE

Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
, -X- _ O
full -X- _ O
5 -X- _ O
random -X- _ O
minus -X- _ O
99 -X- _ B-MONEY
yuan -X- _ I-MONEY
activity -X- _ O
. -X- _ O

Explain -X- _ O
the -X- _ O
real -X- _ O
- -X- _ O
name -X- _ O
authentication -X- _ B-HMS_SERVICE_FEATURE
. -X- _ O

Why -X- _ O
do -X- _ O
I -X- _ O
directly -X- _ O
enter -X- _ O
the -X- _ O
WeChat -X- _ B-NON_HMS_SERVICE
payment -X- _ O
page -X- _ O
after -X- _ O
my -X- _ O
fingerprint -X- _ O
is -X- _ O
unlocked -X- _ O
? -X- _ O

Why -X- _ O
did -X- _ O
I -X- _ O
not -X- _ O
respond -X- _ O
when -X- _ O
I -X- _ O
extracted -X- _ O
the -X- _ O
card -X- _ O
and -X- _ O
the -X- _ O
ID -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Excuse -X- _ O
me -X- _ O
, -X- _ O
I -X- _ O
use -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
, -X- _ O
then -X- _ O
the -X- _ O
status -X- _ O
bar -X- _ O
appears -X- _ O
an -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
to -X- _ O
pay -X- _ O
me -X- _ O
an -X- _ O
icon -X- _ O
, -X- _ O
and -X- _ O
then -X- _ O
can -X- _ O
not -X- _ O
delete -X- _ O
, -X- _ O
shutdown -X- _ O
restart -X- _ O
also -X- _ O
useless -X- _ O
, -X- _ O
how -X- _ O
can -X- _ O
you -X- _ O
get -X- _ O
rid -X- _ O
of -X- _ O
it -X- _ O
? -X- _ O

The -X- _ O
transaction -X- _ O
records -X- _ O
of -X- _ O
the -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
are -X- _ O
not -X- _ O
completely -X- _ O
displayed -X- _ O
. -X- _ O

Credit -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
application -X- _ O
progress -X- _ O

My -X- _ O
phone -X- _ O
card -X- _ O
is -X- _ O
lost -X- _ O
. -X- _ O
I -X- _ O
ca -X- _ O
n't -X- _ O
do -X- _ O
it -X- _ O
now -X- _ O
. -X- _ O
I -X- _ O
want -X- _ O
to -X- _ O
log -X- _ O
in -X- _ O
to -X- _ O
the -X- _ O
Huawei -X- _ B-HMS_SERVICE
ID -X- _ I-HMS_SERVICE
, -X- _ O
but -X- _ O
the -X- _ O
password -X- _ O
is -X- _ O
forgotten -X- _ O
and -X- _ O
the -X- _ O
verification -X- _ B-CODE_TYPE
code -X- _ I-CODE_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
sent -X- _ O
. -X- _ O

What -X- _ O
are -X- _ O
the -X- _ O
methods -X- _ O
for -X- _ O
adding -X- _ O
bank -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
? -X- _ O

Failed -X- _ O
to -X- _ O
recharge -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
of -X- _ O
the -X- _ O
Honor -X- _ B-HUAWEI_DEVICE
Band -X- _ I-HUAWEI_DEVICE
3 -X- _ I-HUAWEI_DEVICE
. -X- _ O

My -X- _ O
phone -X- _ O
's -X- _ O
nfc -X- _ B-CARD_USAGE
function -X- _ O
should -X- _ O
be -X- _ O
broken -X- _ O
. -X- _ O
I -X- _ O
want -X- _ O
to -X- _ O
return -X- _ O
the -X- _ O
money -X- _ O
from -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
. -X- _ O

The -X- _ O
used -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
suddenly -X- _ O
becomes -X- _ O
unavailable -X- _ O
, -X- _ O
and -X- _ O
the -X- _ O
system -X- _ O
displays -X- _ O
a -X- _ O
message -X- _ O
indicating -X- _ O
that -X- _ O
the -X- _ O
storage -X- _ O
fails -X- _ O
to -X- _ O
be -X- _ O
loaded -X- _ O
. -X- _ O

How -X- _ O
do -X- _ O
I -X- _ O
brush -X- _ O
my -X- _ O
TalkBand -X- _ B-HUAWEI_DEVICE
4 -X- _ I-HUAWEI_DEVICE
? -X- _ O

The -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
bound -X- _ O
and -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
used -X- _ O
. -X- _ O

Password -X- _ O

Is -X- _ O
there -X- _ O
any -X- _ O
restriction -X- _ O
on -X- _ O
the -X- _ O
number -X- _ O
of -X- _ O
participation -X- _ O
times -X- _ O
? -X- _ O

What -X- _ O
is -X- _ O
the -X- _ O
problem -X- _ O
when -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
not -X- _ O
recharged -X- _ O
? -X- _ O

My -X- _ O
phone -X- _ O
supports -X- _ O
EID -X- _ B-CARD_TYPE
. -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
I -X- _ O
ca -X- _ O
n't -X- _ O
find -X- _ O
the -X- _ O
upgrade -X- _ O
entrance -X- _ O
in -X- _ O
Beijing -X- _ B-LOC
One -X- _ B-CARD_TYPE
Card -X- _ I-CARD_TYPE
? -X- _ O

p30 -X- _ B-HUAWEI_DEVICE
pro -X- _ I-HUAWEI_DEVICE
The -X- _ O
key -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
added -X- _ O
. -X- _ O

Why -X- _ O
ca -X- _ O
n't -X- _ O
I -X- _ O
pay -X- _ O
if -X- _ O
I -X- _ O
bind -X- _ O
my -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Which -X- _ O
of -X- _ O
the -X- _ O
following -X- _ O
mobile -X- _ O
phones -X- _ O
are -X- _ O
supported -X- _ O
by -X- _ O
the -X- _ O
NE -X- _ B-HMS_SERVICE
ID -X- _ I-HMS_SERVICE
? -X- _ O

How -X- _ O
can -X- _ O
I -X- _ O
return -X- _ O
a -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
if -X- _ O
my -X- _ O
phone -X- _ O
is -X- _ O
not -X- _ O
available -X- _ O
? -X- _ O

Why -X- _ O
does -X- _ O
the -X- _ O
8X -X- _ B-HUAWEI_DEVICE
not -X- _ O
support -X- _ O
pay -X- _ O
? -X- _ O

Can -X- _ O
I -X- _ O
use -X- _ O
my -X- _ O
watch -X- _ B-HUAWEI_DEVICE
when -X- _ O
my -X- _ O
phone -X- _ O
is -X- _ O
bound -X- _ O
to -X- _ O
a -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Can -X- _ O
I -X- _ O
use -X- _ O
Huawei -X- _ B-ORG
's -X- _ O
electronic -X- _ B-CARD_TYPE
ID -X- _ I-CARD_TYPE
card -X- _ I-CARD_TYPE
to -X- _ O
get -X- _ O
a -X- _ O
ticket -X- _ B-MISC
? -X- _ O

How -X- _ O
do -X- _ O
you -X- _ O
calculate -X- _ O
the -X- _ O
benefits -X- _ O
of -X- _ O
a -X- _ O
spiritual -X- _ O
life -X- _ O
? -X- _ O

No -X- _ O
one -X- _ O
cares -X- _ O
. -X- _ O

I -X- _ O
want -X- _ O
to -X- _ O
cancel -X- _ O
12 -X- _ B-MONEY
yuan -X- _ I-MONEY
monthly -X- _ O
. -X- _ O

How -X- _ O
to -X- _ O
bind -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
? -X- _ O

I -X- _ O
want -X- _ O
to -X- _ O
retrieve -X- _ O
the -X- _ O
payment -X- _ B-CARD_FEATURE
password -X- _ I-CARD_FEATURE
. -X- _ O

Why -X- _ O
ca -X- _ O
n't -X- _ O
my -X- _ O
software -X- _ O
find -X- _ O
the -X- _ O
key -X- _ O
to -X- _ O
the -X- _ O
door -X- _ O
? -X- _ O

Where -X- _ O
can -X- _ O
I -X- _ O
apply -X- _ O
for -X- _ O
a -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Why -X- _ O
is -X- _ O
the -X- _ O
call -X- _ O
fee -X- _ O
of -X- _ O
50 -X- _ B-MONEY
yuan -X- _ I-MONEY
not -X- _ O
reduced -X- _ O
by -X- _ O
10 -X- _ B-MONEY
yuan -X- _ I-MONEY
? -X- _ O

The -X- _ O
password -X- _ O
is -X- _ O
forgotten -X- _ O
when -X- _ O
the -X- _ O
mobile -X- _ O
phone -X- _ O
is -X- _ O
activated -X- _ O
. -X- _ O

Does -X- _ O
the -X- _ O
mate -X- _ B-HUAWEI_DEVICE
series -X- _ O
support -X- _ O
WeChat -X- _ B-NON_HMS_SERVICE
fingerprint -X- _ B-CARD_FEATURE
payment -X- _ I-CARD_FEATURE
? -X- _ O

How -X- _ O
to -X- _ O
enable -X- _ O
the -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
payment -X- _ B-CODE_TYPE
code -X- _ I-CODE_TYPE
? -X- _ O

Where -X- _ O
is -X- _ O
the -X- _ O
nfc -X- _ B-CARD_USAGE
of -X- _ O
Cheong -X- _ O
E8 -X- _ O
? -X- _ O

If -X- _ O
there -X- _ O
is -X- _ O
no -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
, -X- _ O
the -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
used -X- _ O
. -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
my -X- _ O
phone -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
opened -X- _ O
? -X- _ O

Which -X- _ O
of -X- _ O
the -X- _ O
following -X- _ O
mobile -X- _ O
phones -X- _ O
can -X- _ O
be -X- _ O
updated -X- _ O
? -X- _ O

Can -X- _ O
my -X- _ O
phone -X- _ O
add -X- _ O
Jinling -X- _ B-CARD_TYPE
Tong -X- _ I-CARD_TYPE
? -X- _ O

Which -X- _ O
models -X- _ O
support -X- _ O
the -X- _ O
analog -X- _ B-CARD_TYPE
access -X- _ I-CARD_TYPE
card -X- _ I-CARD_TYPE
function -X- _ O
? -X- _ O

The -X- _ O
cool -X- _ O
dog -X- _ O
ca -X- _ O
n't -X- _ O
log -X- _ O
in -X- _ O
. -X- _ O

Shanghai -X- _ B-LOC
Public -X- _ B-CARD_TYPE
Transportation -X- _ I-CARD_TYPE
Card -X- _ I-CARD_TYPE
Refund -X- _ O
Service -X- _ O
Fee -X- _ O

What -X- _ O
are -X- _ O
the -X- _ O
financial -X- _ O
institutions -X- _ O
that -X- _ O
borrow -X- _ O
money -X- _ O
? -X- _ O

Does -X- _ O
novr3 -X- _ O
not -X- _ O
support -X- _ O
the -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE
? -X- _ O

Real -X- _ O
- -X- _ O
name -X- _ O
authentication -X- _ B-HMS_SERVICE_FEATURE
is -X- _ O
not -X- _ O
my -X- _ O
message -X- _ O
. -X- _ O
What -X- _ O
's -X- _ O
going -X- _ O
on -X- _ O
? -X- _ O

Can -X- _ O
real -X- _ O
- -X- _ O
name -X- _ O
authentication -X- _ B-HMS_SERVICE_FEATURE
use -X- _ O
other -X- _ O
people -X- _ O
's -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

How -X- _ O
do -X- _ O
I -X- _ O
close -X- _ O
the -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
payment -X- _ O
and -X- _ O
automatic -X- _ O
deduction -X- _ O
? -X- _ O

Which -X- _ O
of -X- _ O
the -X- _ O
following -X- _ O
is -X- _ O
the -X- _ O
setting -X- _ O
of -X- _ O
the -X- _ O
non -X- _ O
- -X- _ O
encrypted -X- _ O
payment -X- _ O
? -X- _ O

Why -X- _ O
did -X- _ O
I -X- _ O
get -X- _ O
15 -X- _ O
bucks -X- _ O
? -X- _ O

mate9 -X- _ B-HUAWEI_DEVICE
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
The -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
added -X- _ O
. -X- _ O

Why -X- _ O
did -X- _ O
you -X- _ O
take -X- _ O
me -X- _ O
15 -X- _ O
? -X- _ O

When -X- _ O
does -X- _ O
Huawei -X- _ B-HUAWEI_DEVICE
Nova2s -X- _ I-HUAWEI_DEVICE
support -X- _ O
Sheng -X- _ B-CARD_TYPE
Jingtong -X- _ I-CARD_TYPE
? -X- _ O

The -X- _ O
local -X- _ O
host -X- _ O
does -X- _ O
not -X- _ O
support -X- _ O
Huawei -X- _ B-HMS_SERVICE
pay -X- _ I-HMS_SERVICE
? -X- _ O
. -X- _ O

Changes -X- _ O
in -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
surface -X- _ O
style -X- _ O

How -X- _ O
Do -X- _ O
I -X- _ O
Apply -X- _ O
for -X- _ O
a -X- _ O
Refund -X- _ O
After -X- _ O
a -X- _ O
Traffic -X- _ B-CARD_TYPE
Card -X- _ I-CARD_TYPE
Is -X- _ O
Migrated -X- _ O
? -X- _ O

Why -X- _ O
is -X- _ O
no -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
added -X- _ O
to -X- _ O
Huawei -X- _ B-ORG
's -X- _ O
wallet -X- _ B-HMS_SERVICE
? -X- _ O

I -X- _ O
want -X- _ O
to -X- _ O
delete -X- _ O
the -X- _ O
Eid -X- _ B-CARD_TYPE
from -X- _ O
my -X- _ O
phone -X- _ O
. -X- _ O

Can -X- _ O
the -X- _ O
movie -X- _ B-MISC
tickets -X- _ I-MISC
of -X- _ O
the -X- _ O
wallet -X- _ B-HMS_SERVICE
still -X- _ O
be -X- _ O
used -X- _ O
after -X- _ O
the -X- _ O
opening -X- _ O
of -X- _ O
the -X- _ O
movie -X- _ O
? -X- _ O

Beijing -X- _ B-LOC
, -X- _ O
Tianjin -X- _ B-LOC
, -X- _ O
and -X- _ O
Hebei -X- _ B-LOC
card -X- _ O
provisioning -X- _ O

Why -X- _ O
Is -X- _ O
a -X- _ O
Black -X- _ O
Card -X- _ O
Displayed -X- _ O
on -X- _ O
a -X- _ O
Traffic -X- _ B-CARD_TYPE
